number,S1,S2,S3,Total,Anchor,Pass
3161000346,22,25,33,80,42,0
3161000347,26,23,24,73,23.5,0
3161000348,26,24,20,70,19,0
3161000349,31,37,30,98,22.9,0
3161000350,27,22,25,74,42,0
3161000351,23,25,23,71,35.7,0
3161000352,30,28,36,94,65.5,0
3161000353,32,22,29,83,58.7,0
3161000354,31,50,41,122,63.2,1
3161000355,52,51,44,147,65.5,1
3161000356,50,43,38,131,82.2,1
3161000357,42,42,53,137,46.5,1
3161000358,26,33,29,88,23.5,0
3161000359,45,30,22,97,42.6,0
3161000360,53,46,47,146,65.5,1
3161000361,54,49,41,144,65.5,1
3161000362,45,41,31,117,19,1
3161000363,39,38,25,0,59.3,0
3161000364,43,47,37,127,58.7,1
3161000365,29,29,34,92,19,0
3161000366,28,31,45,0,83.3,0
3161000367,45,38,34,117,42,1
3161000368,20,38,40,98,36.8,0
3161000369,48,35,40,123,59.3,1
3161000370,51,34,31,116,42.6,1
3161000371,48,42,34,124,77.1,1
3161000372,52,47,50,149,82.2,1
3161000373,53,42,52,147,82.2,1
3161000374,43,44,35,122,82.2,1
3161000375,36,45,33,114,46.5,1
3161000376,26,31,35,92,22.9,0
3161000377,33,43,43,119,58,1
3161000378,36,31,32,99,42.6,0
3161000379,38,30,29,97,42,0
3161000380,29,38,41,0,23.5,1
3161000381,37,34,34,0,58.7,0
3161000382,42,37,34,113,0,1
3161000383,33,32,43,0,53.5,1
3161000384,39,38,43,120,100,1
3161000385,53,51,47,151,58.7,1
3161000386,16,19,20,55,0,0
3161000387,18,12,39,69,46.5,0
3161000388,42,31,46,119,83.3,1
3161000389,27,28,32,87,23.5,0
3161200001,23,19,38,80,77.1,0
3161200002,33,31,43,0,41.3,1
3161200003,43,39,39,121,77.1,1
3161200004,27,30,35,92,83.3,0
3161200005,38,35,45,118,83.3,1
3161200006,29,30,13,72,23.5,0
3161200007,22,26,28,76,0,0
3161200008,41,44,45,130,77.1,1
3161200009,24,18,12,54,42,0
3161200010,39,36,42,117,59.7,1
3161200011,26,30,16,72,36.8,0
3161200012,19,24,27,70,53.5,0
3161200013,37,30,49,116,76.5,1
3161200014,22,14,21,57,100,0
3161200015,52,47,55,154,59.7,1
3161200016,47,44,52,143,59.7,1
3161200017,39,25,43,0,34.5,1
3161200018,25,27,29,81,36.8,0
3161200019,42,35,43,120,40.7,1
3161200020,23,22,53,98,59.7,0
3161200021,28,13,23,64,60.3,0
3161200022,33,29,23,85,23.5,0
3161200023,45,50,35,130,77.1,1
3161200024,26,20,18,64,83.3,0
3161200025,43,37,34,114,59.3,1
3161200026,20,18,16,54,17.8,0
3161200027,45,45,29,119,83.3,1
3161200028,27,34,21,82,77.1,0
3161200029,43,39,27,0,23.5,1
3161200030,48,50,45,143,77.1,1
3161200031,45,38,43,126,76.5,1
3161200032,38,45,25,0,77.1,1
3161200033,24,35,25,84,17.8,0
3161200034,25,29,15,69,100,0
3161200035,46,51,42,139,17.8,1
3161200036,50,53,39,142,57.4,1
